iter	RMSE
349	1336.404647
350	1336.277056
351	1336.004412
352	1335.993803
353	1335.375636
354	1335.262414
355	1334.895951
356	1334.665583
357	1334.309351
358	1333.740888
359	1333.484623
360	1333.45022
361	1333.211872
362	1333.125131
363	1332.92755
364	1332.860495
365	1332.799266
366	1332.712685
367	1332.559444
368	1332.412587
369	1332.258844
370	1332.131194
371	1331.841712
372	1331.727969
373	1331.690511
374	1331.657005
375	1331.631271
376	1331.607311
377	1331.373518
378	1331.140361
379	1330.83121
380	1330.677575
381	1330.561377
382	1330.351143
383	1330.143684
384	1329.873872
385	1329.681596
386	1329.506511
387	1329.388371
388	1329.15526
389	1328.977536
390	1328.832888
391	1328.654228
392	1328.57766
393	1328.508512
394	1328.347928
395	1328.12602
396	1328.100473
397	1327.94489
398	1327.714323
399	1327.393109
